[13/03/2020 18:24:15] --> GM: Kiyara [268480681], Target: [Nephilim Guard], Action: [admin_admin], Params: [] 
[13/03/2020 18:24:20] --> GM: Kiyara [268480681], Target: [Nephilim Guard], Action: [admin_admin2], Params: [] 
[13/03/2020 18:24:25] --> GM: Kiyara [268480681], Target: [Nephilim Guard], Action: [admin_settitle], Params: [] 
[13/03/2020 18:24:49] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_settitle Waatttaaaa], Params: [] 
[13/03/2020 18:24:53] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin], Params: [] 
[13/03/2020 18:24:54] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin2], Params: [] 
[13/03/2020 18:24:58] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 18:25:05] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin2], Params: [] 
[13/03/2020 18:25:07] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin2], Params: [] 
[13/03/2020 18:25:08] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_char_manage], Params: [] 
[13/03/2020 18:25:18] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_goto_char_menu], Params: [] 
[13/03/2020 18:25:21] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin], Params: [] 
[13/03/2020 18:25:21] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin], Params: [] 
[13/03/2020 18:25:23] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin2], Params: [] 
[13/03/2020 18:25:24] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_char_manage], Params: [] 
[13/03/2020 18:25:36] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_teleport_character_to_menu], Params: [ 17838 170274 -3508] 
[13/03/2020 18:25:38] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_teleport_character_to_menu], Params: [ 17838 170274 -3508] 
[13/03/2020 18:25:39] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_goto_char_menu], Params: [] 
[13/03/2020 18:25:43] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin], Params: [] 
[13/03/2020 18:25:43] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin], Params: [] 
[13/03/2020 18:25:45] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin2], Params: [] 
[13/03/2020 18:25:50] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_cw_info_menu], Params: [] 
[13/03/2020 18:25:55] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_cw_add], Params: [ 8190] 
[13/03/2020 18:26:09] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin], Params: [] 
[13/03/2020 18:26:09] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin], Params: [] 
[13/03/2020 18:26:12] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_enchant], Params: [] 
[13/03/2020 18:26:17] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_setew], Params: [ 100] 
[13/03/2020 18:26:39] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin], Params: [] 
[13/03/2020 18:26:39] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin], Params: [] 
[13/03/2020 18:26:41] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin2], Params: [] 
[13/03/2020 18:26:44] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_cw_remove], Params: [] 
[13/03/2020 18:26:48] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin], Params: [] 
[13/03/2020 18:26:48] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin], Params: [] 
[13/03/2020 18:26:49] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin2], Params: [] 
[13/03/2020 18:26:51] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_cw_info_menu], Params: [] 
[13/03/2020 18:26:54] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_cw_remove], Params: [ 8190] 
[13/03/2020 18:27:01] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin], Params: [] 
[13/03/2020 18:27:02] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin], Params: [] 
[13/03/2020 18:27:04] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_enchant], Params: [] 
[13/03/2020 18:27:05] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_setew], Params: [] 
[13/03/2020 18:27:14] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_setew], Params: [ 5000] 
[13/03/2020 18:27:30] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin], Params: [] 
[13/03/2020 18:27:30] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin], Params: [] 
[13/03/2020 18:27:33] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_find_dualbox], Params: [] 
[13/03/2020 18:27:37] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 18:27:44] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_character_info], Params: [ Bangsat] 
[13/03/2020 18:27:55] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 18:27:57] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_character_info], Params: [ Kiyara] 
[13/03/2020 18:28:02] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_edit_character], Params: [] 
[13/03/2020 18:28:13] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_setcolor], Params: [] 
[13/03/2020 18:28:56] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_setcolor 774582], Params: [] 
[13/03/2020 18:29:21] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_setcolor 0990d1], Params: [] 
[13/03/2020 18:29:28] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin], Params: [] 
[13/03/2020 18:29:30] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin2], Params: [] 
[13/03/2020 18:29:33] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_char_manage], Params: [] 
[13/03/2020 18:29:35] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin2], Params: [] 
[13/03/2020 18:29:40] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin], Params: [] 
[13/03/2020 18:29:47] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_find_dualbox], Params: [] 
[13/03/2020 18:29:49] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 18:29:53] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_character_info], Params: [ Kiyara] 
[13/03/2020 18:29:58] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_edit_character], Params: [] 
[13/03/2020 18:30:04] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_rec], Params: [ 9999] 
[13/03/2020 18:30:08] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin], Params: [] 
[13/03/2020 18:30:17] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin2], Params: [] 
[13/03/2020 18:30:19] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 18:30:20] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_character_info], Params: [ Kiyara] 
[13/03/2020 18:30:22] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_show_skills], Params: [] 
[13/03/2020 18:30:27] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_give_all_skills], Params: [] 
[13/03/2020 18:30:36] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin], Params: [] 
[13/03/2020 18:30:40] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin2], Params: [] 
[13/03/2020 18:30:42] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 18:30:43] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_character_info], Params: [ Kiyara] 
[13/03/2020 18:30:45] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_show_skills], Params: [] 
[13/03/2020 18:30:48] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_skill_list], Params: [] 
[13/03/2020 18:30:53] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_help], Params: [ skills/Special/Hero_Skills.htm] 
[13/03/2020 18:30:58] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_add_skill], Params: [ 1375 1] 
[13/03/2020 18:31:02] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_skill_list], Params: [] 
[13/03/2020 18:31:04] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_help], Params: [ skills/Special/Hero_Skills.htm] 
[13/03/2020 18:31:11] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_add_skill], Params: [ 1375 1] 
[13/03/2020 18:31:18] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_skill_list], Params: [] 
[13/03/2020 18:31:19] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_help], Params: [ skills/Special/Hero_Skills.htm] 
[13/03/2020 18:31:23] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_add_skill], Params: [ 1376 1] 
[13/03/2020 18:31:27] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_skill_list], Params: [] 
[13/03/2020 18:31:29] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_help], Params: [ skills/Special/Hero_Skills.htm] 
[13/03/2020 18:31:33] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_add_skill], Params: [ 395 1] 
[13/03/2020 18:31:34] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_skill_list], Params: [] 
