[13/03/2020 18:59:32] --> GM: LOUIS [268477997], Target: [no-target], Action: [admin_gmshop], Params: [] 
[13/03/2020 18:59:49] --> GM: LOUIS [268477997], Target: [no-target], Action: [admin_gmshop], Params: [] 
[13/03/2020 19:00:12] --> GM: LOUIS [268477997], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 19:00:15] --> GM: LOUIS [268477997], Target: [no-target], Action: [admin_move_to], Params: [] 
[13/03/2020 19:00:18] --> GM: LOUIS [268477997], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[13/03/2020 19:00:20] --> GM: LOUIS [268477997], Target: [no-target], Action: [admin_help], Params: [ tele/towns/giran.htm] 
[13/03/2020 19:00:28] --> GM: LOUIS [268477997], Target: [no-target], Action: [admin_move_to], Params: [ 82698 148638 -3473] 
[13/03/2020 19:00:52] --> GM: LOUIS [268477997], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 19:01:09] --> GM: LOUIS [268477997], Target: [no-target], Action: [admin_admin3], Params: [] 
